gene_symbol,chromosome,start,end,BXD1,BXD2,BXD6,BXD8,BXD9,BXD11,BXD12,BXD13,BXD14,BXD16,BXD18,BXD19,BXD21,BXD23,BXD27,BXD28,BXD29,BXD31,BXD32,BXD33,BXD34,BXD36,BXD40,BXD42
0610009L18Rik,11,120209992.0,120212504.0,7.308984055,8.135270727,7.734870709,7.345012528,7.904853897,8.035307922,7.413168818,7.377057202,7.060725983,8.034215691,7.344868513,8.253400619,6.936852445,7.654117071,7.652249471,7.461147379,7.044387306,7.268059618,6.917056345,7.6208703579999995,7.973214331,7.440110755,7.607229605,8.034215691
0610010O12Rik,18,36505273.0,36562634.0,8.050179502,8.511437548,8.505199788,8.716959442,8.337766568,7.848372387,8.528194835,8.421339335,8.128214527,7.97180156,8.806604893,7.694302149,8.922000235,8.045259249,8.164422366,8.161938248,8.02545757,7.363688734,8.54192612,8.5646950415,9.007907657,8.397808312,7.649377401,8.705236267
0610040J01Rik,5,64203734.0,64290858.0,8.799670559,7.364418621,8.18220023,8.31749895,7.787186301,8.252829492,7.444688758,8.009371846,7.677229788,7.386915504,7.811363295,7.218095924,7.925339741,7.451094534,7.807363349,7.486093332,7.795674826,7.356099956,7.102275648,7.7678962735,7.714019575,7.242733877,8.038148351,7.318466472
1100001G20Rik,11,83560442.0,83566144.0,13.01636813,13.39084545,12.18664628,11.82921072,12.88023694,13.568036,11.69766298,11.96726494,11.47917423,12.73362569,11.70898337,12.73990989,11.2251184,12.2223198,11.93846048,12.07456551,10.35660125,11.18839805,10.6927843,11.808028405,12.91553845,11.4892709,12.11648617,12.5158064
1110002B05Rik,12,55746361.0,55757559.0,10.58697954,11.12663902,10.04770223,9.920808201,10.87960158,11.43006249,10.01403837,9.892611302,9.308825431,10.48901491,9.94917837,10.33072353,9.449330779,10.37870821,10.16109207,10.22682082,9.050911698,9.578154587,9.040052945,9.6386174695,10.41517979,9.76544801,11.019705,9.430867693
1110003O08Rik,8,124073494.0,124073889.0,10.04003245,10.66211825,10.68754516,10.2913455,10.64469985,11.15171574,10.8504167,10.3222863,10.43127222,10.9776952,10.65586121,11.10211334,10.59551134,10.97348019,10.85431596,10.26663071,10.57614031,10.90716348,10.5505197,11.13824957,10.73996544,10.58410415,10.45389497,11.77756137
1110017F19Rik,11,115773331.0,115775234.0,9.017732578,9.406280714,9.603352053,8.801993248,9.421913574,8.192511247,9.424669456,9.239431182,8.375725605,9.134261006,9.346505987,8.696122474,9.354969335,8.60788513,8.794690344,8.927691428,9.065671216,8.652291293,9.405768952,8.422420653500001,9.881156451,9.064799141,8.694985242,8.869102918
1110038B12Rik,17,35087183.0,35089417.0,10.0254983,9.436344402,9.946450977,9.818620879,9.661918853,9.174453564,9.67673479,9.723095205,9.476846302,9.172208909,9.800908349,8.668070639,9.359450481,9.094068368,9.764940849,9.164022757,9.437809448,9.409567119,9.911383286,9.4632007505,9.307577514,9.770589065,9.403005205,8.604609359
1190002F15Rik,6,134879110.0,134901594.0,9.177494192,9.85399772,10.00647925,10.05154523,9.795985955,9.308413153,9.804365895,9.496046736,10.18247813,9.519684565,10.20629301,8.7591365,10.22743059,9.674199516,10.03307251,9.723641418,9.782306322,9.274473989,9.913472418,9.484358714,10.16163449,9.902992412,9.383773511,9.226552271
1190002H23Rik,14,79688558.0,79701442.0,11.40957941,11.83058954,8.941899857,9.55114265,9.07856927,9.025065139,11.32132698,11.81059469,9.106554341,11.26694698,11.76795876,8.502143439,11.76640189,8.84294467,11.39606412,11.74182615,9.084254789,11.75373427,9.335850385,8.7370881375,9.370639507,9.211740207,8.885020701,8.734672021
1190007I07Rik,10,82082603.0,82085856.0,7.830980582,6.951573838,6.751362535,6.74895232,8.467292008,8.11353341,7.600711741,7.662211488,6.664420225,6.598973265,7.732874169,7.813724229,6.334338875,6.759899025,6.876080008,6.761147222,7.236066669,7.584471279,6.71652622,7.68021217,7.229796947,6.698807463,8.225074657,6.638721028
1200016E24Rik,2,22868336.0,22870196.0,8.34070599,9.720897065,8.960881291,8.249243388,10.61237617,9.164437869,9.59488456,8.628792641,8.597062422,9.103183051,8.392781518,9.447497763,8.02498733,9.304431956,9.45062654,9.529556468,7.954287599,7.63866321,7.564651079,9.926727725,9.537759245,8.325568871,8.218993124,8.706326354
1500003O03Rik,2,119373433.0,119412763.0,9.487380891333332,9.303314278333334,9.005472534,9.771122222666667,9.294962961000001,10.141599500666667,9.909161924000001,9.638497354666667,9.365915822,10.089955784666666,9.561057232000001,10.262905539,9.483827169666666,9.891967514666668,9.773437385666666,9.814097165333335,9.822001328333334,10.049924446666667,9.616381681,9.410218762833333,9.234267216666666,9.523755237000001,10.050086994333334,10.319233231333333
