gene_symbol,chromosome,start,end,BXD1,BXD2,BXD6,BXD8,BXD9,BXD11,BXD12,BXD13,BXD14,BXD15,BXD16,BXD18,BXD19,BXD21,BXD23,BXD27,BXD28,BXD29,BXD31,BXD32,BXD33,BXD34,BXD40
0610007P14Rik,12,87156398.0,87165500.0,10.065425020500001,9.6755464215,9.333545024,10.197768747,9.1351455165,8.9181130315,9.4958689565,9.529822938999999,10.451080715,9.088124212,8.906409724500001,10.1621640195,9.5152761335,10.2742779065,9.1015758675,9.886278548,9.8485924465,10.1954560645,9.699910869,9.807934860500001,9.722409685,9.264953339,10.063700712
0610009B22Rik,11,51498888.0,51502376.0,8.28492662,7.539526971,7.539336511,7.972341797,7.699995734,8.591357239,7.510521949,7.847610571,7.331642136,8.145146498,8.830955047,7.551348666,7.943227549,7.219717709,8.29908193,7.828119483,7.6649845825,7.809414032,8.082791764,8.394399965,7.897145932000001,8.51115699,7.756608691
0610009L18Rik,11,120209992.0,120212504.0,8.219693406,7.912029774,7.955096682,7.812022917,8.085652506,8.817042431,7.740337049,8.19189797,7.288605387,8.38547107,7.59283457,7.883683612,8.154311978,7.286688652,8.947103621,7.978730074,7.8402367465000005,7.775934231,8.516965641,8.577106063,8.365743515666667,9.116276335,7.684330979
0610010K14Rik,11,70048708.0,70051416.0,9.309580025,9.151543931,9.383773511,10.04058612,8.772544452,8.796910295,9.472719031,9.277087378,9.907184683,9.140409414,9.436888238,9.44663627,9.168073213,9.743344894,8.674988534,9.257285799,9.495941518999999,9.84620092,9.790792502,9.105263882,9.33795943,9.106124844,10.01466437
0610037L13Rik,4,107562418.0,107571989.0,9.38410129,9.036191277499999,8.949360054,9.406939190500001,8.583564337,8.6695242285,9.1941089435,9.087797119000001,9.644507457,8.499057492,7.94193782,9.304686540999999,9.084493887499999,9.584274929,8.6453911615,9.084795413999998,9.056346129249999,9.527278688500001,9.4019148395,9.260864321,9.213064646833335,9.3497752235,9.401667675999999
1100001G20Rik,11,83560442.0,83566144.0,8.141717,7.255467265,7.183758326,9.079811332,7.73898278,9.044069791,7.145492838,7.843454154,6.850353769,7.290998518,7.138649891,7.233991077,8.027611235,6.944349616,8.777098553,8.125076799,7.6923145445,7.004070973,8.365494753,9.057261584,7.916950022333334,8.00026385,7.814484377
1110002B05Rik,12,55746361.0,55757559.0,11.8247442,10.5577534,10.82227108,10.74303462,11.34828555,12.61882674,11.0974759,11.65290974,9.442837376,11.69766298,10.9080136,10.74862474,11.20563796,9.068494241,12.75044669,11.01044069,10.683207535000001,10.36162484,11.57335274,12.35744769,11.121644635666664,11.96726494,10.76058121
1110008P14Rik,2,32232617.0,32237458.0,7.871880407,7.832896724,8.199070716,8.841833999,7.813499269,7.685935279,7.89969355,7.661396678,8.405396172,7.67654758,9.076913942,7.591380058,8.086778166,8.300295788,7.4313233,8.116895657,7.8432956505,8.422586083,8.151327206,7.815453515,7.892850233666667,8.319369799,8.448979054
1110017F19Rik,11,115773331.0,115775234.0,7.128319364,7.305509352,6.966266733,7.491968114,6.992688496,8.164996356,7.03339601,7.035622416,8.742729791,6.994965169,6.866105045,8.718805781,8.052655044,7.514057561,8.655627472,8.224189708,8.250270252,8.661668928,8.889670712,7.363543342,8.943335395666667,7.453565855,8.374789006
1110021J02Rik,17,29826323.0,29853957.0,9.632719776,9.582389293,10.05656438,10.78099811,9.66991881,9.877370966,9.533363569,9.265634722,9.738821514,9.368035359,10.03131451,9.303512706,9.808503537,9.875692621,9.727324,10.02278813,9.361480496999999,10.62714487,9.352369191,9.431259658,9.730633111666664,10.73692916,9.59247248
